sgRNA,Gene,Endura,Addgene
sg_41388,RPL27A,875.6269004256671,706.0595996039557
sg_30955,NALCN,1121.0413756444584,1058.0778527016298
sg_36998,PEX12,1582.5002367556542,1602.2899796169997
sg_42376,SDC3,1451.5793300973537,1420.2115728423407
sg_10269,CNTNAP5,625.7322420892914,643.3437039371287
sg_14480,EMC7,594.3709602662004,424.8496158075378
sg_20413,GRAMD1C,436.56895490239344,453.1729235280403
sg_45755,SLC35F3,699.9041625915224,839.5837645720391
sg_34025,OR2A5,988.1292764894538,1098.5397208737763
sg_47694,SMIM22,360.4058419034582,402.5955883128573
sg_48332,SPPL3,1420.2180482742629,1339.2878364980477
sg_50981,TLCD1,667.0494863959033,669.6439182490238
sg_5673,C2orf74,516.216654770561,436.9881762591817
sg_32161,nontargeting,952.2878115487783,1132.9323088201008
sg_35312,OR8B12,378.3265743737959,434.96508285057445
sg_12161,DAD1,1121.5391737686343,1094.4935340565617
sg_52697,TMEM205,924.9089147190957,948.8308086368345
sg_7339,CD28,578.939218416743,623.1127698510554
sg_10815,CPT1B,1422.7070388951431,1412.1191992079114
sg_50029,TAS1R3,682.4812282453607,702.013412786741
sg_34311,OR2V2,471.9126217188928,568.4892478186578
sg_8836,CHRNA5,1049.3584457631075,1064.1471329274518
sg_27924,LTBP1,303.6568557473888,260.97904971034467
sg_34738,OR52B6,566.9920634365178,590.7432753133382
sg_35282,OR7G1,828.3360786289426,728.3136270986363
sg_53036,TMEM245,989.6226708619819,1005.4774240778395
sg_29804,MMD,208.07961590558776,226.58646176402016
sg_22191,HTR1D,370.8596025111552,354.0413465062815
sg_29621,MICAL3,1460.0418982083465,1383.7958914874089
sg_42562,SEC61B,1216.6186154862594,1163.2787099492107
sg_55371,TSC2,1006.0500089597915,969.0617427229076
sg_16997,FKRP,1242.5041179434138,1197.6712978955352
sg_19940,GPR17,1494.3899687764938,1454.6041607886652
sg_45597,SLC35B1,335.51593569465587,329.76422560299363
sg_57455,WFDC2,824.3536936355342,627.1589566682701
sg_51070,TLR6,1071.7593613510296,977.154116357337
sg_42524,SEC22B,603.3313265013693,497.68097851740146
sg_56440,UNC5CL,1594.4473917358794,1553.7357378104239
sg_78,ABCA12,1021.979548933425,1082.3549736049179
sg_35466,ORAI2,150.83283162534232,111.27013747340276
sg_40391,RETSAT,1886.654890627219,2023.093408607323
sg_21134,HCAR2,370.36180438697914,414.7341487645012
sg_50192,TBC1D23,839.2876373608157,732.3598139158509
sg_39327,PTGDR2,496.3047298035191,465.3114839796843
sg_14518,EMILIN1,271.79777580012177,275.1407035705959
sg_52104,TMEM150C,1790.082054537066,1656.9135016493974
sg_47184,SLC9A5,1667.6237159897582,1488.9967487349898
sg_46078,SLC39A1,2028.5273560173925,2089.8554910913645
sg_4497,BEAN1,1508.8261143775992,1620.4978202944656
sg_12249,DCAF17,1962.8180036261542,1966.4467931663178
sg_8422,CEP170,1152.9004555917254,940.7384350024051
sg_30487,MSR1,247.40566771549547,246.8173958500934
sg_34639,OR51E2,220.52456900998894,258.95595630173733
sg_56914,VIM,558.031697201349,657.5053577973799
sg_54540,TNFSF13B,581.9260071617992,604.9049291735895
sg_12390,DDOST,1065.2879857367411,1090.447347239347
sg_54549,TNFSF14,1163.3542161994224,1246.2255397021108
sg_29666,MILR1,388.28253685731687,418.78033558171586
sg_56149,UBR4,1167.3366011928308,1151.1401494975667
sg_31877,NNAT,1140.9533006115003,1145.0708692717449
sg_6139,CACNA1G,764.1201206102326,671.6670116576312
sg_46918,SLC6A6,1042.887070148819,1054.0316658844151
sg_42469,SDR16C5,881.1026797916036,898.2534734216514
sg_39415,PTGIS,763.6223224860564,726.290533690029
sg_3863,ATRIP,274.78456454517806,214.44790131237622
sg_9017,CHST3,413.17244306611923,394.503214678428
sg_8395,CELSR1,97.07063421432922,139.59344519390527
sg_34496,OR4F21,1249.9710898060546,1381.7727980788015
sg_31071,NCKAP1,1018.4949620641927,967.0386493143003
sg_52412,TMEM180,610.79829836401,693.9210391523118
sg_24712,KCNJ11,575.9524296716867,560.3968741842284
sg_43849,SLC12A3,377.82877624961986,465.3114839796843
sg_10465,COL5A2,1327.129799053342,1124.8399351856715
sg_17793,GABRA2,1200.689075512626,1009.5236108950542
sg_29454,MGAT1,341.98731130894447,386.4108410439987
sg_31631,NINJ1,1057.3232157499244,1019.6390779380907
sg_57232,VTI1B,407.6966637001827,426.87270921614515
sg_21225,HELZ,1436.6453863720724,1424.2577596595554
sg_20311,GPRC5A,947.807628431194,922.5305943249392
sg_18544,GGCX,1057.8210138741003,875.9994459269708
sg_50457,TENM1,850.7369942168648,890.161099787222
sg_4804,BRI3BP,1590.465006742471,1505.1814960038482
sg_33840,OR14K1,395.2517105957815,313.57947833413505
sg_16294,FAM9C,2887.72691834525,2478.2894255439705
sg_6098,CACNA1C,769.098101851993,786.9833359482486
sg_12938,DKFZP761J1410,426.61299241887247,378.3184674095694
sg_56682,UTY,471.9126217188928,428.89580262475243
sg_51127,TM2D3,673.0230638860158,594.7894621305529
sg_39042,PRSS23,370.8596025111552,315.6025717427424
sg_3613,ATP5G2,1149.415868722493,900.2765668302587
sg_4043,B3GALTL,1196.2088923950416,1254.3179133365402
sg_30632,MUC17,552.0581197112364,495.6578851087941
sg_47586,SMIM10,1127.014953134571,1094.4935340565617
sg_1339,ADIG,553.5515140837646,578.6047148616943
sg_57804,XPO7,918.4375391048071,890.161099787222
sg_57051,VNN1,891.0586422751246,995.3619570348029
sg_23783,ITGA6,854.7193792102731,882.0687261527928
sg_13750,DSG3,1239.5173291983576,1139.0015890459229
sg_27542,LRRC37A2,1071.7593613510296,1122.8168417770642
sg_48894,ST8SIA6,506.7584904112161,592.7663687219456
sg_45962,SLC38A1,529.1594059991382,604.9049291735895
sg_37794,PLA2G6,489.8333541892305,558.3737807756211
sg_52447,TMEM184A,900.5168066344695,983.2233965831589
sg_9488,CLEC1A,742.7148012706625,819.3528304859658
sg_36678,PCNXL3,611.793894612362,469.3576707968989
sg_38731,PRCP,508.74968290792026,388.43393445260597
sg_2421,APCDD1L,693.9305851014099,691.8979457437044
sg_20115,GPR45,634.1948102002842,572.5354346358724
sg_38939,PRRC2C,904.9969897520539,987.2695834003736
sg_7510,CD40LG,1574.0376686446614,1456.6272541972726
sg_30068,MPL,987.1336802411017,1015.5928911208761
sg_25324,KIAA0195,868.1599285630264,821.3759238945731
sg_43538,SIGLEC11,1675.588485976575,1466.742721240309
sg_53499,TMEM54,574.9568334233346,568.4892478186578
sg_10448,COL5A1,152.32622599787047,153.75509905415655
sg_9929,CMTM7,918.9353372289833,1019.6390779380907
sg_8352,CEACAM8,946.8120321828419,898.2534734216514
sg_47465,SLMAP,1151.9048593433733,1221.948418798823
sg_21104,HBD,727.283059421205,604.9049291735895
sg_7563,CD4,1050.3540420114596,1070.2164131532738
sg_50082,TAS2R39,1054.8342251290442,1165.301803357818
sg_9134,CLCC1,1798.5446226480587,1683.2137159612926
sg_40085,RAMP1,997.5874408487987,1052.0085724758078
sg_23265,IL22RA1,1943.4038767832885,1778.2991061658367
sg_4464,BDKRB1,3698.142264503855,3564.690585966103
sg_51397,TMCC1,856.7105717069772,916.4613140991173
sg_39998,RABGAP1L,1232.0503573357169,1246.2255397021108
sg_44285,SLC17A9,1074.2483519719099,954.9000888626564
sg_51129,TM2D3,1306.222277837948,1385.8189848960162
sg_12977,DLG4,495.309133555167,507.79644556043803
sg_34036,OR2AE1,326.0577713353109,408.66486853867923
sg_40066,RALGAPA2,1093.1646806905997,1072.2395065618812
sg_33888,OR1F1,915.4507503597508,1090.447347239347
sg_30160,MR1,840.7810317333438,1005.4774240778395
sg_25844,KRTAP19-3,212.06200089899613,216.47099472098355
sg_4745,BOC,1605.8967485919284,1640.728754380539
sg_3623,ATP5G3,1081.2175257103745,1090.447347239347
sg_31248,NDRG2,1623.817481062266,1608.3592598428218
sg_30627,MUC17,211.56420277482007,190.17078040908837
sg_47551,SMDT1,1507.8305181292471,1377.7266112615869
sg_40795,RNF130,395.74950871995753,360.11062673210347
sg_15403,EVI5,1249.9710898060546,1252.2948199279328
sg_33701,OR10S1,1012.5213845740801,912.4151272819026
sg_51646,TMEM106C,933.8692809542646,940.7384350024051
sg_57763,XKR7,718.8204913102122,530.0504730551186
sg_41824,S100A10,2343.1357704966545,2170.7792274356575
sg_54544,TNFSF13B,1458.0507057116424,1551.7126444018168
sg_34993,OR5H2,1018.4949620641927,1191.6020176697132
sg_57853,XXYLT1,250.8902545847278,218.49408812959086
sg_51405,TMCC2,718.3226931860362,902.2996602388661
sg_36417,PCDHB13,1165.8432068203026,1177.4403638094618
sg_28426,MAN1B1,442.542532392506,396.52630808703526
sg_29707,MKNK1,383.80235373973244,313.57947833413505
sg_36512,PCDHGA1,645.1463689321572,679.7593852920605
sg_1957,ALPP,950.2966190520742,1017.6159845294834
sg_41952,SBK3,373.84639125621146,420.80342899032314
sg_14404,ELP6,962.7415721564754,1019.6390779380907
sg_32411,nontargeting,891.5564403993006,803.1680832171072
sg_406,ABCG2,963.7371684048275,1116.7475615512421
sg_40260,REEP1,1222.592192976372,1412.1191992079114
sg_40406,RFNG,1232.548155459893,1205.7636715299645
sg_34009,OR2A25,723.7984725519727,635.2513303026994
sg_15265,ESPL1,214.0531933957003,105.20085724758079
sg_29943,MOGAT1,459.46766861449163,481.49623124854287
sg_58130,ZDHHC18,373.34859313203543,388.43393445260597
sg_13851,DYRK2,397.74070121666176,445.080549893611
sg_38391,POMT2,1156.3850424609577,1108.655187916813
sg_5046,C10orf35,513.2298660255047,546.2352203239772
sg_23846,ITGAL,864.177543569618,766.7524018621754
sg_16333,FAR2,1638.2536266633715,1816.737880929376
sg_58459,ZNRF4,281.75373828364275,384.38774763539135
sg_56099,UBE2J1,1629.7910585523787,1456.6272541972726
sg_19353,GPC3,1008.0412014564956,1041.8931054327713
sg_51131,TM2D3,1000.0764314696789,1110.6782813254204
sg_48690,ST3GAL2,912.9617597388707,884.0918195614001
sg_23866,ITGAX,586.4061902793836,679.7593852920605
